index,original_text,predicted_intent,actual_intent1,actual_confidence1,actual_intent2,actual_confidence2,actual_intent3,actual_confidence3,actual_intent_correct
138,How is a cold different from the flu?,covid-flu-vs-common-cold,covid-flu-vs-coronavirus,0.6664173126220703,covid-flu-vs-common-cold,0.4560449600219727,covid-fever-definition,0.3457182765007019,BELOW_THRESHOLD
142,Who is this?,General_Greetings,General_Positive_Feedback,0.3290169954299927,travel_embassies,0.3103396534919739,Bot_Control_Change_Subject,0.3060852646827698,BELOW_THRESHOLD
152,You gave me exactly what I need!,General_Positive_Feedback,mask_type_question,0.28520407080650334,Bot_Control_Reject_Response,0.27866616249084475,Bot_Control_Approve_Response,0.26838866472244266,BELOW_THRESHOLD
154,do you have availability next week,Customer_Care_Appointments,Customer_Care_Store_Hours,0.37840540409088136,Customer_Care_Appointments,0.37464346885681155,local_updates,0.245771586894989,BELOW_THRESHOLD
155,Do you have a list of things I can talk to you about?,General_Agent_Capabilities,Bot_Control_Change_Subject,0.27808254957199097,travel_embassies,0.2595396637916565,General_About_You,0.25416988730430606,BELOW_THRESHOLD
163,give me directions,Test_Center_Contact_Info,tx_count,0.4295319795608521,Test_Center_Contact_Info,0.32392654418945316,CDC_Info,0.3130369067192078,BELOW_THRESHOLD
166,Set up an appt,Customer_Care_Appointments,General_Ending,0.3260664939880371,Customer_Care_Appointments,0.32566877603530886,General_About_You,0.26766359210014345,BELOW_THRESHOLD
193,Is HS 123 open?,Covid_School_Shutdown,Customer_Care_Store_Hours,0.6249860286712647,tx_count,0.34656610488891604,General_Ending,0.2919304251670838,BELOW_THRESHOLD
196,You got me,Bot_Control_Unsure,Bot_Control_Confirm_Presence,0.5324851989746093,Bot_Control_Approve_Response,0.3345810294151306,General_Greetings,0.3162331819534302,BELOW_THRESHOLD
198,Digital tools covid-19,Application_for_COVID-19,covid_thailand_novel,0.32331736087799073,who_video,0.2836757361888886,Application_for_COVID-19,0.2821771502494812,BELOW_THRESHOLD
199,What happens after the ordered three-week closure period ends?,Covid_School_Shutdown,COVID_Illness_Length,0.3943871259689331,Customer_Care_Store_Hours,0.34022897481918335,covid_thailand_high_temp,0.31888182163238527,BELOW_THRESHOLD
205,How long will I feel terrible?,COVID_Illness_Length,Covid_Symptoms,0.6092897415161134,Covid_Testing_Results,0.36393753290176395,COVID_Illness_Length,0.2889537870883942,BELOW_THRESHOLD
207,can you assist me,Help,Bot_Control_Reject_Response,0.38285847902297976,General_Agent_Capabilities,0.36409701108932496,Bot_Control_Confirm_Presence,0.36033927202224736,BELOW_THRESHOLD
208,How long do I have to be stuck at home?,covid_thailand_quarantine,COVID_Illness_Length,0.38982118368148805,covid_thailand_quarantine,0.3841611981391907,Covid_Cleaning_Disinfecting,0.31794717311859133,BELOW_THRESHOLD
224,testing travelers?,covid_thailand_cost,covid-screening,0.5560470819473267,cdc_traveler,0.5071317434310914,Covid_Travel_Restrictions,0.33929202556610105,BELOW_THRESHOLD
231,Can I get tested at home?,covid_thailand_cost,covid-screening,0.40407011508941654,Covid_Testing_Locations,0.3080894708633423,Covid_Travel_Restrictions,0.29575353264808657,BELOW_THRESHOLD
232,I can not breath very well,Covid_Symptoms,Treatment_shortnessOfBreath,0.4502095222473145,General_Negative_Feedback,0.2918018639087677,Bot_Control_Unsure,0.2710577011108399,BELOW_THRESHOLD
233,That is what I need,Bot_Control_Approve_Response,Bot_Control_Reject_Response,0.5075228691101075,Help,0.33871854543685914,mask_type_question,0.2996100962162018,BELOW_THRESHOLD
242,Can you say that again please?,Bot_Control_Clarification,Cancel,0.2685086607933045,Bot_Control_Clarification,0.26117001175880433,Bot_Control_Start_Over,0.26008279919624333,BELOW_THRESHOLD
251,What to do if you need medical help,covid_thailand_medical_advice,General_Agent_Capabilities,0.5786856412887573,Treatment_info,0.36173102855682376,Help,0.28103979825973513,BELOW_THRESHOLD
